Time,Plate1_Fx,Plate1_Fy,Plate1_Fz,Plate2_Fx,Plate2_Fy,Plate2_Fz
0.42,-0,-0,-0,-0,-0,-0
0.43,-0,-0,-0,-0,-0,-0
0.44,-0,-0,-0,-0,-0,-0
0.45,-0,-0,-0,-0,-0,-0
0.46,-0,-0,-0,-0,-0,-0
0.47,-0,-0,-0,-0,-0,-0
0.48,-0,-0,-0,-0,-0,-0
0.49,-0,-0,-0,-0,-0,-0
0.5,-0,-0,-0,-0,-0,-0
0.51,-0,-0,-0,-0,-0,-0
0.52,-0,-0,-0,-0,-0,-0
0.53,-0,-0,-0,-0,-0,-0
0.54,-0,-0,-0,-0,-0,-0
0.55,-0,-0,-0,-0,-0,-0
0.56,-0,-0,-0,-0,-0,-0
0.57,-0,-0,-0,-0,-0,-0
0.58,-0,-0,-0,-0,-0,-0
0.59,-0,-0,-0,-0,-0,-0
0.6,-0,-0,-0,-0,-0,-0
0.61,-0,-0,-0,-0,-0,-0
0.62,-0,-0,-0,-0,-0,-0
0.63,-0,-0,-0,-0,-0,-0
0.64,-0,-0,-0,-0,-0,-0
0.65,-0,-0,-0,-0,-0,-0
0.66,-0,-0,-0,-0,-0,-0
0.67,-0,-0,-0,-0,-0,-0
0.68,-0,-0,-0,-0,-0,-0
0.69,-0,-0,-0,-0,-0,-0
0.7,-0,-0,-0,-0,-0,-0
0.71,-0,-0,-0,-0,-0,-0
0.72,-0,-0,-0,-0,-0,-0
0.73,-0,-0,-0,-0,-0,-0
0.74,-0,-0,-0,-0,-0,-0
0.75,-0,-0,-0,-0,-0,-0
0.76,-0,-0,-0,-0,-0,-0
0.77,-0,-0,-0,-0,-0,-0
0.78,-0,-0,-0,-0,-0,-0
0.79,-0,-0,-0,-0,-0,-0
0.8,-0,-0,-0,-0,-0,-0
0.81,-0,-0,-0,-0,-0,-0
0.82,-0,-0,-0,-0,-0,-0
0.83,-0,-0,-0,-0,-0,-0
0.84,-0,-0,-0,-0,-0,-0
0.85,-0,-0,-0,-0,-0,-0
0.86,-0,-0,-0,-0,-0,-0
0.87,-0,-0,-0,-0,-0,-0
0.88,-0,-0,-0,-0,-0,-0
0.89,-0,-0,-0,-0,-0,-0
0.9,-0,-0,-0,-0,-0,-0
0.91,-0,-0,-0,-0,-0,-0
0.92,-0,-0,-0,-0,-0,-0
0.93,-0,-0,-0,-0,-0,-0
0.94,-0,-0,-0,-0,-0,-0
0.95,-0,-0,-0,-0,-0,-0
0.96,-0,-0,-0,-0,-0,-0
0.97,-0,-0,-0,-0,-0,-0
0.98,-0,-0,-0,-0,-0,-0
0.99,-0,-0,-0,-0,-0,-0
1,-0,-0,-0,-0,-0,-0
1.01,-0,-0,-0,-0,-0,-0
1.02,-0,-0,-0,-0,-0,-0
1.03,-0,-0,-0,-0,-0,-0
1.04,-0,-0,-0,-0,-0,-0
1.05,-0,-0,-0,-0,-0,-0
1.06,-0,-0,-0,-0,-0,-0
1.07,-0,-0,-0,-0,-0,-0
1.08,-0,-0,-0,-0,-0,-0
1.09,-0,-0,-0,-0,-0,-0
1.1,-0,-0,-0,-0,-0,-0
1.11,-0,-0,-0,-0,-0,-0
1.12,-0,-0,-0,-0,-0,-0
1.13,-0,-0,-0,-0,-0,-0
1.14,-0,-0,-0,-0,-0,-0
1.15,-0,-0,-0,-0,-0,-0
1.16,-0,-0,-0,-0,-0,-0
1.17,-0,-0,-0,-0,-0,-0
1.18,-0,-0,-0,-0,-0,-0
1.19,-0,-0,-0,-0,-0,-0
1.2,-0,-0,-0,-0,-0,-0
1.21,-0,-0,-0,-0,-0,-0
1.22,-0,-0,-0,-0,-0,-0
1.23,-12.0420879369336,7.6093095881582,323.66625358236,-0,-0,-0
1.24,-45.736356781517,27.3049036453105,592.738973824804,-0,-0,-0
1.25,-50.6590254630924,31.0799081062428,623.375309791538,-0,-0,-0
1.26,-51.6120429244457,32.6898958334568,632.304584803069,-0,-0,-0
1.27,-51.6788138166792,33.8276000077424,636.835419289547,-0,-0,-0
1.28,-51.4713478837591,34.8285799302869,640.246901988745,-0,-0,-0
1.29,-51.170343816264,35.7930620115299,643.494167410901,-0,-0,-0
1.3,-50.8438868434309,36.7534504682921,646.929397253281,-0,-0,-0
1.31,-50.5096293077169,37.7580233448571,650.650822938042,-0,-0,-0
1.32,-50.1902298054828,38.7634176319294,654.678481712922,-0,-0,-0
1.33,-49.8621310574277,39.8387138128074,658.977360233493,-0,-0,-0
1.34,-49.5552463695563,40.9202794263743,663.353689627044,-0,-0,-0
1.35,-49.2460667731699,42.0329440312772,667.697240104667,-0,-0,-0
1.36,-48.9461437463191,43.1784086750323,671.776371388528,-0,-0,-0
1.37,-48.623971957737,44.2850645403455,675.399177040753,-0,-0,-0
1.38,-48.265034403026,45.3303275636269,678.314456603327,-0,-0,-0
1.39,-47.8226112280738,46.259757694546,680.172908317687,-0,-0,-0
1.4,-47.2530159251124,46.9869170390151,680.879526697726,-0,-0,-0
1.41,-46.5380194573437,47.4453006189041,680.381175019949,-0,-0,-0
1.42,-45.6932539568697,47.6242151662627,678.609261195897,-0,-0,-0
1.43,-44.7686607683469,47.5527482522351,675.790889284822,-0,-0,-0
1.44,-43.8456531042347,47.2379288605837,672.280258922746,-0,-0,-0
1.45,-42.9886072506466,46.8980351501604,668.260420174831,-0,-0,-0
1.46,-42.2459419423708,46.5926920263603,664.072299344314,-0,-0,-0
1.47,-41.6315842443969,46.4350795919171,659.827504955,-0,-0,-0
1.48,-41.1217932807304,46.5129378453348,655.634660113192,-0,-0,-0
1.49,-40.7090206586912,46.7772254320252,651.463157505159,-0,-0,-0
1.5,-40.3666411717275,47.2201374304642,647.412729459057,-0,-0,-0
1.51,-40.0879512954504,47.8608585166859,643.338625927333,-0,-0,-0
1.52,-39.8743152664064,48.5565867233437,639.510470921418,-0,-0,-0
1.53,-39.7052025347968,49.2937267916851,635.978486802594,-0,-0,-0
1.54,-39.5691116936024,50.1058043602735,632.6507902896,-0,-0,-0
1.55,-39.4530246212044,50.9353596684908,629.703414195856,-0,-0,-0
1.56,-39.3321560850399,51.8009071256347,627.154226877955,-0,-0,-0
1.57,-39.1919955998262,52.7024546608087,625.030027540441,-0,-0,-0
1.58,-39.0246138172884,53.6701887856266,623.293412132147,-0,-0,-0
1.59,-38.8109820371323,54.71148291945,621.963953251274,-0,-0,-0
1.6,-38.5695984365466,55.8123720436122,620.968828297472,-0,-0,-0
1.61,-38.2771823750165,57.0580432331251,620.272973480186,-0,-0,-0
1.62,-37.9485003972715,58.4297409416125,619.868565776957,-0,-0,-0
1.63,-37.580309460324,59.9918000705873,619.749092291646,-0,-0,-0
