Time,Moment_ElbowFlexion,Moment_ElbowPronation,Moment_WristAbduction,Moment_WristFlexion,Force_ElbowHumeroUlnar_AnteroPosteriorForce,Force_ElbowHumeroUlnar_AxialMoment,Force_ElbowHumeroUlnar_LateralMoment,Force_ElbowHumeroUlnar_MedioLateralForce,Force_ElbowHumeroUlnar_ProximoDistalForce,Force_WristRadioCarpal_AxialMoment,Force_WristRadioCarpal_DorsoVolarForce,Force_WristRadioCarpal_ProximoDistalForce,Force_WristRadioCarpal_RadialForce
0.42,-6.11295884931419,17.0764158963782,14.841466411571,-32.8246439567287,-59.3283097226573,-8.95960152082741,27.6485419687519,24.011698752419,-10.5764713251935,-9.45876257498956,-12.7956151435721,-101.457415354288,41.5522941069413
0.43,-6.11591534415497,17.0390006351338,14.7893119278998,-32.7546732133701,-59.2692807785828,-8.94320989320945,27.6207724781113,23.7550800983439,-10.566791974667,-9.43807953419314,-12.6145662808789,-101.65818619551,41.3798727718251
0.44,-6.11915095560578,17.0029987939065,14.7424479529016,-32.6747994079829,-59.2143204241365,-8.92808780495586,27.592410209776,23.4663324277184,-10.5649187899741,-9.42221165304097,-12.394339710857,-101.878031613083,41.2066078334155
0.45,-6.12247587525248,16.9693466788912,14.7016304537651,-32.5845552937832,-59.1624895324697,-8.91512353352359,27.5636974508902,23.142784368106,-10.5710355127526,-9.41229171780577,-12.1322946214765,-102.118488894178,41.0310850145652
0.46,-6.12588584857601,16.9369738756372,14.6646982879787,-32.4884835354859,-59.1111621744186,-8.903107017302,27.5346574093844,22.8016173890252,-10.5815803748627,-9.40572363844339,-11.8462722018291,-102.377376388967,40.8525129684962
0.47,-6.13052693667174,16.8979313448753,14.6193785111599,-32.4018493199045,-59.0463502454744,-8.88437136198498,27.5031104050996,22.5079933169885,-10.5815498788423,-9.38902356679126,-11.604998917585,-102.635649149845,40.6656239693852
0.48,-6.1363463782541,16.8560774441702,14.5703661849783,-32.3184501312474,-58.9712153804318,-8.86256463821866,27.4706158773674,22.2328268452416,-10.5767251749298,-9.36831080701712,-11.3784673365224,-102.895432607887,40.4708941878957
0.49,-6.14279802684292,16.8134215459187,14.5205218146051,-32.2361743700309,-58.8890302013099,-8.83949168688806,27.4378519085361,21.9660291455734,-10.5698686270494,-9.34644922890474,-11.1557264056292,-103.162170580142,40.2696517163196
0.5,-6.14953941160172,16.7740037928301,14.4756244610105,-32.1485295881628,-58.8066786373417,-8.81894901838178,27.406219102611,21.6782955629275,-10.567995567815,-9.32988770683387,-10.9059424389792,-103.442271114007,40.0654858182203
0.51,-6.15855127765571,16.7318905792004,14.4279350394444,-32.0573656925176,-58.7159500943796,-8.79609988885917,27.372267545435,21.3885864021839,-10.5653987700545,-9.31146520629805,-10.650870131411,-103.709493202744,39.857447198196
0.52,-6.1692992757026,16.6844690783924,14.3717095089867,-31.9769073756884,-58.6094200809574,-8.76770108133344,27.3367499193896,21.1480588925142,-10.5514779638676,-9.28389650249107,-10.4430393781745,-103.967086730196,39.640412218039
0.53,-6.1810196635474,16.6381942811916,14.3159537888177,-31.9016856885795,-58.5014191924216,-8.73928732698154,27.3031261699641,20.9244773114046,-10.5361406018672,-9.25602971154417,-10.2476900006186,-104.225889894431,39.4246635682574
0.54,-6.19345479819323,16.5967401329342,14.2656959298731,-31.8245929860217,-58.3963484275931,-8.7145928517437,27.2720185271997,20.6888604638304,-10.5254817684764,-9.23403131943084,-10.0350948807753,-104.487119018655,39.2125039626267
0.55,-6.20686443242033,16.5575800738363,14.2169389970129,-31.7526062883871,-58.2914011955404,-8.69094557178085,27.2432888776911,20.4680508054171,-10.5142787692117,-9.21298700963785,-9.83328892064075,-104.74549908813,39.0041021608601
0.56,-6.22076997734796,16.5376182048926,14.1826043948953,-31.6989931664416,-58.2014155803393,-8.68137789639289,27.2311345017431,20.2640139393853,-10.5070269472497,-9.20715394864836,-9.64011624641484,-105.00835159856,38.8140258943033
0.57,-6.23437973002678,16.4941525049099,14.1445278715016,-31.589513925833,-58.1174590424249,-8.65552593190026,27.1915705130186,19.9458103633791,-10.5218888937098,-9.19352322591762,-9.33359743053268,-105.269080450114,38.6238472554065
0.58,-6.25059621137776,16.4771914839015,14.1087707547028,-31.5629313290176,-58.0310030631681,-8.64496866229171,27.1880643942601,19.8209783235287,-10.5065700771895,-9.18278496535616,-9.21402001852181,-105.51197208258,38.4515232291384
0.59,-6.26701107404251,16.4575587274937,14.076625323577,-31.5210302839197,-57.9531012075251,-8.63269606739724,27.1794868193317,19.6587314736752,-10.5017761843023,-9.17407457017721,-9.0549229377816,-105.749272474011,38.2884890850401
0.6,-6.28218397327453,16.446926590556,14.0554172366038,-31.4885736198209,-57.8992666471274,-8.62637545980265,27.1782559356445,19.5121541966029,-10.5040118536595,-9.17246873414727,-8.90634775654908,-105.980891674705,38.1554263389456
