Time,Moment_AnklePlantarFlexion,Moment_HipAbduction,Moment_HipExternalRotation,Moment_HipFlexion,Moment_KneeFlexion,Force_Ankle_AnteroPosteriorForce,Force_Ankle_AxialMoment,Force_Ankle_MedioLateralForce,Force_Ankle_ProximoDistalForce,Force_Hip_AnteroPosteriorForce,Force_Hip_MediolateralForce,Force_Hip_ProximoDistalForce,Force_Knee_AnteroPosteriorForce,Force_Knee_AxialMoment,Force_Knee_LateralMoment,Force_Knee_MedioLateralForce,Force_Knee_ProximoDistalForce
0.42,9.3987139249541,24.8447415720739,2.23919138398026,-5.74214976713811,22.8526292712755,70.5791466355005,-12.8611957832636,39.8184261878153,-990.482133528622,-179.101540581387,155.273589134853,1549.56608251004,180.965256525933,-8.96258448159126,-16.2965078739058,-15.7328086851606,-1318.73663792295
0.43,9.3011400736872,24.8304633102255,2.34381339961597,-5.76968100116259,22.7929117125861,69.7150620516166,-12.9151540144816,39.5361302554916,-985.427347198861,-180.991651740295,159.220037328536,1547.20349533215,180.686931302786,-9.05784566976893,-16.2888324027642,-15.5301700474084,-1315.11581418766
0.44,9.2211289778559,24.8118388160394,2.43947323915164,-5.79943628762075,22.742735845167,68.8983319859228,-12.9616568097104,39.3103228041736,-980.916556240532,-182.652695350371,162.738129579686,1544.97884349117,180.422678538371,-9.14064954984764,-16.2798457751865,-15.3530457614838,-1311.98746164852
0.45,9.1586806374602,24.7888680895156,2.52617090258728,-5.83141562651259,22.7021016690181,68.128956438419,-13.0007041689499,39.1410038338615,-976.949760653634,-184.084671411616,165.827865888303,1542.89212698709,180.172498232689,-9.21099612182741,-16.2695479911729,-15.2014358273868,-1309.35158030554
0.46,9.11379505250011,24.7615511306541,2.60390638992288,-5.86561901783811,22.6710091841396,67.4069354091053,-13.0322960922001,39.0281733445551,-973.526960438168,-185.287579924028,168.489246254387,1540.94334581993,179.936390385738,-9.26888538570822,-16.2579390507233,-15.0753402451173,-1307.2081701587
0.47,9.08647222297562,24.7298879394549,2.67267970115844,-5.90204646159731,22.6494583905312,66.7322688979817,-13.0564325794611,38.9718313362544,-970.648155594132,-186.261420887608,170.722270677939,1539.13249998968,179.71435499752,-9.31431734149009,-16.2450189538378,-14.9747590146754,-1305.55723120803
0.48,9.07671214888672,24.6938785159181,2.73249083629397,-5.94069795779018,22.6374492881932,66.1049569050481,-13.0731136307328,38.9719778089596,-968.313346121528,-187.006194302356,172.526939158957,1537.45958949633,179.506392068034,-9.347291989173,-16.2307877005162,-14.8996921360611,-1304.39876345351
0.49,9.08451483023343,24.6535228600436,2.78333979532946,-5.98157350641673,22.6349818771254,65.5249994303045,-13.0823392460152,39.0286127626704,-966.522532020356,-187.521900168272,173.903251697443,1535.92461433989,179.31250159728,-9.36780932875697,-16.2152452907587,-14.8501396092743,-1303.73276689514
0.5,9.10582454581519,24.633026264345,2.81403086864664,-6.04549531443882,22.6591026648127,64.8252554910025,-13.077400999279,39.1553986861362,-965.399177641176,-187.64126095197,174.570188541049,1535.52265621426,179.254447252641,-9.37107450429382,-16.2199785942381,-14.8126635922847,-1304.44226038966
0.51,9.1637871136769,24.5868927411583,2.83222904556913,-6.10958417986849,22.6977626204793,64.3123607719046,-13.0593481676452,39.4016861892293,-965.442961098035,-187.325116077146,174.430675702705,1535.07541989237,179.189044496681,-9.34934261841045,-16.2112654805638,-14.8162231964989,-1305.92494457276
0.52,9.24910565174332,24.5060400958842,2.836238927933,-6.17210577167384,22.7410107455136,64.027917870756,-13.0239405189698,39.7350956350306,-966.393247580913,-186.493161385612,173.478172776018,1533.971535134,179.073482664029,-9.29896253620529,-16.1811839359409,-14.8482850974172,-1307.64343457207
0.53,9.33610324769807,24.4222397868077,2.84305770208366,-6.2167650804424,22.7726627069821,63.7651629377027,-12.9907630955597,40.0451958569983,-967.092712689298,-185.775293008799,172.703158880574,1532.31440279918,178.873565784873,-9.25168742438987,-16.1447452743893,-14.904537327968,-1308.76480389819
0.54,9.39899580796096,24.3666967086865,2.88040689780738,-6.24059681640816,22.7824900539567,63.31790650058,-12.9895329566192,40.2383397363265,-966.418792775565,-185.95874914258,173.285170201769,1530.49326673605,178.613366942165,-9.2497860417936,-16.1164039240058,-14.9641429469221,-1308.6968782217
0.55,9.42713581011071,24.3276861838666,2.94641951549565,-6.24407129684761,22.761049601256,62.7414945347929,-13.0151970714146,40.292844904365,-964.153416244427,-186.894002361396,175.086621650194,1528.05594988275,178.261857015972,-9.28818413133469,-16.0865225191119,-15.0067455080827,-1306.9403531637
0.56,9.43285722132443,24.2759768203464,3.02322518123187,-6.24295344329937,22.7139364333943,62.1333733035879,-13.0445654312334,40.2647005607145,-960.718488551585,-187.972163057009,177.21552860818,1524.44567841958,177.813204922623,-9.33730063080377,-16.0412931829589,-15.0201508401863,-1303.66708673787
0.57,9.44168944893968,24.2104324567256,3.11507670288166,-6.27135282250597,22.6677564055065,61.3786844605345,-13.0809138715157,40.2340888543804,-956.573969358643,-189.159398633642,179.681190336139,1520.18078609698,177.360557745044,-9.39683600429147,-15.9834204075369,-15.0129342610641,-1299.96661942847
0.58,9.4746770146162,24.1462349989325,3.23098525060715,-6.35129277346892,22.646082191871,60.3076040225198,-13.1356505527796,40.2521174148166,-951.991180399394,-190.667224673424,182.793179826864,1516.17983757057,176.989567870354,-9.47812018726672,-15.9246019664936,-15.0037186137146,-1296.84358478835
0.59,9.5234873001839,24.0819771750807,3.35759796802912,-6.45967123156343,22.6357422004682,58.9543114126753,-13.1955577164762,40.2951475599553,-946.824748561093,-192.294025445318,186.163783222685,1512.05973805398,176.626325826706,-9.56886625383224,-15.8663536034429,-14.9980652383384,-1293.82100449352
0.6,9.57105549599323,23.9911595652125,3.47433150504602,-6.56289101862372,22.6102257876501,57.5977140675418,-13.2374967364054,40.3316302889903,-941.163188874008,-193.573412510495,189.012285339718,1506.60391829283,176.149017255158,-9.64223682188865,-15.7929782072361,-14.9838254542918,-1289.91576353938
0.61,9.61722642025686,23.8565931940803,3.57457065803681,-6.65021524267635,22.5639670120263,56.4319560507305,-13.2543149054753,40.3716619994949,-935.444331346185,-194.329431422105,191.0493167695,1499.46010417454,175.529266824107,-9.6861822631319,-15.6942890935936,-14.9572210930949,-1285.04019833242
0.62,9.66704998579669,23.6848766233887,3.66112190132012,-6.70462691888832,22.4962036020413,55.4836639022908,-13.2518819279976,40.4200739975885,-929.885099482616,-194.74594901615,192.47184988264,1490.78566689234,174.743357397507,-9.70581489873039,-15.5747296346073,-14.9415414912329,-1279.33446481065
0.63,9.72395079133421,23.4946766748363,3.74110727046002,-6.70940714115815,22.4077323778443,54.6637575344366,-13.2411598287982,40.4786598486379,-924.479182488036,-195.083084104272,193.589724272862,1480.91732358929,173.773454112696,-9.71381581582782,-15.4452334956179,-14.9672438227347,-1272.98150395407
0.64,9.79416219867214,23.2973450679105,3.82636221601574,-6.68189016150566,22.3138817052411,53.8480280884545,-13.2348443255355,40.5809052247287,-919.339293204081,-195.55018688543,194.696996970659,1470.49407217643,172.709634616733,-9.72386759174094,-15.3147210568234,-15.0311658813728,-1266.68523709001
0.65,9.86753294914749,23.08357401583,3.90946646945609,-6.63111143438881,22.213525459738,53.1185548038617,-13.2241746837523,40.7157599391691,-914.535655748532,-195.904129309926,195.462431534784,1459.56219996816,171.597669198452,-9.72612924524098,-15.1781964960483,-15.1003920080298,-1260.38319351694
0.66,9.90543316762796,22.8597334369099,3.97567630029946,-6.526420225021,22.0761670485113,52.5815618483829,-13.1964736998515,40.7585530419908,-909.402122038468,-195.978395945408,195.63495811061,1447.72396723439,170.357505791838,-9.71337834989902,-15.0359892505541,-15.149345277087,-1252.75351942077
0.67,9.88383640014141,22.6558783650402,4.03872342844341,-6.36732048006388,21.8962592217175,52.1070594963792,-13.1695479512308,40.6317658305713,-903.228945744284,-196.206160877689,195.871902548384,1435.60730409023,169.043653086408,-9.71214069555258,-14.9026048133434,-15.1594867260859,-1243.4874331605
0.68,9.80395998195446,22.482414012947,4.11168902652535,-6.17940068720633,21.6877723589368,51.6162424130401,-13.1575363689952,40.352248961502,-896.01401561693,-196.803923299945,196.5463038191,1423.86889341401,167.766211572649,-9.73796894261919,-14.7831136735209,-15.1150849640043,-1233.10560571324
0.69,9.67823255275838,22.3164629122438,4.17036643016682,-5.97886983535665,21.4589111703588,51.2670129161519,-13.1347209017977,39.9639225423335,-888.404106503816,-197.186200431833,196.90070863832,1412.37487215487,166.541167154661,-9.75743283588372,-14.6665424141721,-15.0111740773953,-1221.92010003562
