Time,Moment_AnklePlantarFlexion,Moment_HipAbduction,Moment_HipExternalRotation,Moment_HipFlexion,Moment_KneeFlexion,Force_Ankle_AnteroPosteriorForce,Force_Ankle_AxialMoment,Force_Ankle_MedioLateralForce,Force_Ankle_ProximoDistalForce,Force_Hip_AnteroPosteriorForce,Force_Hip_MediolateralForce,Force_Hip_ProximoDistalForce,Force_Knee_AnteroPosteriorForce,Force_Knee_AxialMoment,Force_Knee_LateralMoment,Force_Knee_MedioLateralForce,Force_Knee_ProximoDistalForce
0.42,7.30150704721604,20.8545915797075,3.21470180343519,6.74368446954508,-10.3540048094129,63.4707342105324,8.38853313654614,-34.6426120039767,-479.718726753067,-137.862644692198,-266.512718213107,746.019835266402,-178.517196220412,7.74061977626052,7.54240970510904,-1.6525324667272,-568.182460703528
0.43,7.37009556586971,20.8013880503287,3.16486503748016,6.55469241862892,-10.247948438222,63.9783274182427,8.34487860926184,-35.257490474499,-482.43587413395,-136.854787468242,-263.59579653159,742.54294847378,-178.207769681459,7.66915180159491,7.49012177019029,-1.57550625024532,-566.886483924928
0.44,7.43799087760471,20.7533396615079,3.12305477452431,6.38402150518116,-10.1538164054177,64.485033079363,8.30755079456026,-35.8561046929225,-485.179494253651,-135.975801890394,-261.036308845744,739.523237807098,-178.003995773695,7.60647342022347,7.44146297199456,-1.50866445865491,-565.921992205267
0.45,7.50519298242103,20.7104464132448,3.08927101456762,6.23167172920181,-10.071608711,64.9908511938932,8.2765496924414,-36.4384546592472,-487.949587112168,-135.225687958654,-258.83425515557,736.960703266356,-177.90587449712,7.55258463214618,7.39643331052184,-1.45200709195597,-565.288985544541
0.46,7.57170188031867,20.6727083055396,3.06351375761011,6.09764309069087,-10.001325354969,65.4957817618335,8.25187530290524,-37.0045403734731,-490.746152709503,-134.604445673023,-256.989635461068,734.855344851554,-177.913405851733,7.50748543736305,7.35503278577213,-1.40553415014851,-564.987463942753
0.47,7.63751757129764,20.6401253383922,3.04578300365177,5.98193558964834,-9.94296633732456,65.9998247831837,8.2335276259518,-37.5543618356001,-493.569191045655,-134.112075033499,-255.502449762237,733.207162562692,-178.026589837535,7.47117583587408,7.31726139774544,-1.36924563323252,-565.017427399902
0.48,7.70264005535793,20.6126975118027,3.03607875269261,5.88454922607421,-9.89653165806679,66.502980257944,8.22150666158107,-38.0879190456282,-496.418702120624,-133.748576040084,-254.372698059078,732.01615639977,-178.245426454526,7.44365582767927,7.28311914644176,-1.343141541208,-565.378875915987
0.49,7.76706933249954,20.590424825771,3.03440100473262,5.80548399996849,-9.86202131719565,67.0052481861141,8.21581240979305,-38.6052120035576,-499.294685934411,-133.513948692776,-253.60038035159,731.282326362788,-178.569915702706,7.42492541277862,7.25260603186109,-1.32722187407496,-566.071809491009
0.5,7.82367865766678,20.5698390232185,3.03709576092289,5.73791307850995,-9.84349489181534,67.4015182019458,8.21411924804878,-39.0930605294826,-501.995216180538,-133.318039344572,-253.02383006351,730.853396522086,-179.019776464878,7.41102639907477,7.22466497957849,-1.33088436993238,-567.082342405266
0.51,7.88021186611435,20.5626958078197,3.05595796811855,5.7011720854983,-9.84117289286931,67.8862757205286,8.22317605527863,-39.522671849741,-504.712751108591,-133.41615233529,-253.120827601677,731.236372558828,-179.594079909557,7.41549696144225,7.20644698479316,-1.34548652806683,-568.512612894676
0.52,7.95216081018155,20.5662297009664,3.09022651177166,5.67842196514377,-9.83808854261998,68.2875348661632,8.24478063734146,-39.9122320741283,-507.548248436704,-133.80266979935,-253.760840882316,732.195977047779,-180.230250771557,7.43656017505275,7.19420737091488,-1.35945886238663,-570.237970560786
