Time,Moment_ElbowFlexion,Moment_ElbowPronation,Moment_WristAbduction,Moment_WristFlexion,Force_ElbowHumeroUlnar_AnteroPosteriorForce,Force_ElbowHumeroUlnar_AxialMoment,Force_ElbowHumeroUlnar_LateralMoment,Force_ElbowHumeroUlnar_MedioLateralForce,Force_ElbowHumeroUlnar_ProximoDistalForce,Force_WristRadioCarpal_AxialMoment,Force_WristRadioCarpal_DorsoVolarForce,Force_WristRadioCarpal_ProximoDistalForce,Force_WristRadioCarpal_RadialForce
0.84,0.441990924,0.023341494,-0.012295178,-0.152306032,-1.501309768,-0.043890315,0.187134575,-0.053129896,5.549963509,-0.012688128,-0.614880416,3.836677578,-0.306131666
0.85,0.437650465,0.02316984,-0.012567626,-0.152454156,-1.482878841,-0.044022934,0.188784466,-0.059865904,5.545765205,-0.012926192,-0.609890489,3.836139792,-0.312552809
0.86,0.433689293,0.022962284,-0.01286188,-0.152566306,-1.467334275,-0.04414079,0.189970039,-0.064151399,5.541844408,-0.013187064,-0.605369285,3.835242974,-0.319043437
0.87,0.430175917,0.022719579,-0.013173911,-0.152643091,-1.454937523,-0.044250024,0.190701867,-0.066049346,5.538293649,-0.013467535,-0.601342287,3.834024097,-0.325495765
0.88,0.427164495,0.022444294,-0.013498871,-0.152686182,-1.445845157,-0.044355443,0.190999918,-0.065664632,5.535206686,-0.013763528,-0.597829547,3.832535647,-0.331802617
0.89,0.424691614,0.022141028,-0.01383115,-0.152698356,-1.440096895,-0.044459869,0.190892297,-0.063135786,5.532674231,-0.014070067,-0.594845419,3.830845411,-0.337861325
0.9,0.422773888,0.021816507,-0.014164527,-0.152683421,-1.437608022,-0.044563475,0.190412682,-0.058622315,5.530779468,-0.014381356,-0.592400507,3.829035157,-0.343578204
0.91,0.42140702,0.021479478,-0.014492392,-0.152646052,-1.438170129,-0.044663321,0.189597315,-0.052291995,5.529592901,-0.014690974,-0.590504316,3.827198127,-0.348872671
0.92,0.419656797,0.0211679,-0.0148048,-0.152638859,-1.437315318,-0.044794639,0.189195436,-0.047625815,5.527979378,-0.014977685,-0.587650944,3.825456197,-0.354232277
0.93,0.421176324,0.020781299,-0.015108196,-0.15247544,-1.451459779,-0.044779765,0.186342634,-0.031310593,5.530783202,-0.015293385,-0.590006139,3.82382766,-0.357363883
0.94,0.420282227,0.020502086,-0.015377135,-0.152454106,-1.454498,-0.044865731,0.185485,-0.024019048,5.530684117,-0.015542487,-0.588214744,3.822543553,-0.36166582
0.95,0.420718413,0.020226584,-0.015619063,-0.152382164,-1.46323147,-0.044867026,0.183667475,-0.012024537,5.532620303,-0.015779173,-0.588626817,3.821603756,-0.364797276
