Time,Moment_AnklePlantarFlexion,Moment_HipAbduction,Moment_HipExternalRotation,Moment_HipFlexion,Moment_KneeFlexion,Force_Ankle_AnteroPosteriorForce,Force_Ankle_AxialMoment,Force_Ankle_MedioLateralForce,Force_Ankle_ProximoDistalForce,Force_Hip_AnteroPosteriorForce,Force_Hip_MediolateralForce,Force_Hip_ProximoDistalForce,Force_Knee_AnteroPosteriorForce,Force_Knee_AxialMoment,Force_Knee_LateralMoment,Force_Knee_MedioLateralForce,Force_Knee_ProximoDistalForce
0.84,15.9980693635203,22.1881709387412,3.28106321059485,-5.65727311224003,11.8548738105191,302.427123577681,-1.69846231292554,-57.6688899596024,-724.620750216553,-157.673383393844,248.379985084386,1083.00425053115,-1.93476504886206,-9.38874388369867,-12.7534270213365,16.9661017311265,-830.445099736539
0.85,16.1046964307792,21.9454277351302,3.15024804469681,-5.7597338668119,11.948918263319,299.142964841304,-1.59029619097555,-55.824072144056,-725.879922967106,-153.802812808462,243.945955956708,1080.37514540507,-2.86948087569262,-9.1505509295127,-12.746805210035,16.8887789945883,-834.31447297248
0.86,16.2093078165256,21.7452307715054,3.03936357260585,-5.84551195073221,12.0351779045971,296.49363124438,-1.49513548279395,-54.2399279580329,-727.524427550574,-150.530190306485,240.151994991335,1078.57589879758,-3.70466463986747,-8.94753488891856,-12.7457259954153,16.8382990209713,-838.171506443059
0.87,16.2449212479435,21.7548915891157,3.07522431369045,-5.8405335728388,12.0507582520296,297.464868190784,-1.49416607324532,-54.3737213178614,-729.059538735623,-151.042103418356,240.580336986819,1079.79980407389,-3.66679902826884,-8.97590453598944,-12.7485723241387,16.9383894002985,-839.463759249698
0.88,16.1435746565482,21.918032379967,3.12582096409687,-5.60967842965417,11.8901523800818,299.139311247428,-1.5373419961653,-55.1685999549634,-728.115546102159,-152.802082701548,242.577036248891,1077.52678141707,-3.31288201961342,-9.08796538145287,-12.7071485702109,16.8984300775813,-833.526168659416
0.89,16.0376180767407,22.0687444699589,3.08766172883973,-5.29030699345647,11.6806807057436,298.901954230639,-1.55417157582486,-55.1753665794249,-726.653969029487,-153.052865879708,242.997745771555,1071.78639121803,-3.51520143631732,-9.1022341955818,-12.6453410071541,16.5926777512823,-825.741517945726
0.9,16.073346656942,22.3405486029054,3.12717844682961,-5.13195729420786,11.6279555566375,301.753835887585,-1.58659781294461,-56.155414042634,-729.302544453501,-155.337989887768,245.591586637756,1075.0492568747,-3.38116393973083,-9.22172872447049,-12.693845806868,16.4662009297747,-825.129789410671
0.91,16.210792303963,22.8461557811073,3.34210844346635,-5.12158887731874,11.7132633549522,310.310768705244,-1.68113262300906,-59.3086402578368,-736.100600193699,-161.667423096013,253.508511873669,1090.47205447368,-2.175093729298,-9.59311161094439,-12.8670738631042,16.7318227104157,-830.997333072755
0.92,16.4453000251051,23.3019466218729,3.52583552077109,-5.22136648334989,11.9057515075147,318.63068323541,-1.73574218885569,-62.0701470670824,-745.321101584989,-167.307385548389,260.082306583266,1109.09734595757,-1.19930115462839,-9.90228057865011,-13.0937169275967,17.060847864339,-841.955450015137
0.93,16.7762240914427,23.5008736409319,3.514367558447,-5.47493765345844,12.2151607814221,321.747924287815,-1.67908024630976,-62.3949258597548,-755.562705011249,-168.347952740835,260.692357697065,1125.78765463657,-1.4052536718457,-9.90044258785003,-13.3537710257259,17.1579509447576,-858.173953714381
0.94,16.9894777366482,23.569300357278,3.35104302920561,-5.64958223122072,12.4230810877906,319.701687822671,-1.59106460748297,-60.9436834760781,-762.130576099686,-166.083656523591,257.365940897151,1135.26344349016,-2.23905228543435,-9.69751955060977,-13.564092997969,16.8901591558526,-869.970937171416
0.95,16.9720124615835,23.7013348461246,3.15779489459624,-5.58292646375113,12.398284804499,315.620757891723,-1.55524049622537,-59.354913575509,-763.205484824296,-163.468948945527,254.662562340874,1137.1286448739,-2.86024479272794,-9.50409607216455,-13.6861802469435,16.3414265653101,-871.487797599314
0.96,16.9405529203949,23.9380521830861,3.02687336438207,-5.4694707936532,12.3509029489353,313.266177657963,-1.55772360983851,-58.5867418077476,-764.185947564232,-162.73100667181,253.808336925895,1140.00627209495,-3.10444992926575,-9.41091074264862,-13.8143395016447,15.7944566911305,-871.877379103292
0.97,17.0999574538004,24.1936205191423,2.96705813289505,-5.48718141215077,12.4717275582166,313.808874721233,-1.54540939249953,-58.4896258649102,-769.600389330618,-163.155679810008,254.412129411995,1149.56216407379,-3.31538528875594,-9.3828022203361,-14.0028294208459,15.4544153825825,-879.412968433977
0.98,17.4475008174869,24.3852575921869,2.96687253499831,-5.60845349597123,12.7470503293377,317.080274382717,-1.4885202309595,-58.8637405162577,-779.461746858951,-164.35319972885,255.606515633395,1163.44090781973,-3.56199699667546,-9.38397479149761,-14.215588652979,15.418083085815,-893.66816080691
0.99,17.9430526774292,24.537891818726,3.0633969924329,-5.9061790968149,13.1928717262539,323.135977232843,-1.42205436908283,-59.9113828394462,-793.276171226953,-166.974247000696,258.106043726837,1184.03470271337,-3.47126715205369,-9.45800899100226,-14.4800997556648,15.7555207254866,-915.406376620044
1,18.4350704844775,24.6552002532844,3.20955008519375,-6.29171178603532,13.6840106441805,329.409737024405,-1.37753240056441,-61.0749581866699,-807.212218015525,-170.127435699207,261.110981257085,1206.72912620605,-3.04946053828463,-9.56478254716666,-14.7549529438775,16.2293629504652,-939.02278979938
1.01,18.6810764386293,24.6624157762136,3.27706880695943,-6.48282035870428,13.9523720973691,331.75556025346,-1.34086317819178,-61.2534853155649,-814.743890901271,-171.270333106195,262.017778975701,1218.77655349794,-2.64054334861781,-9.57452606941545,-14.9043679045209,16.4983927244501,-952.504859491808
