Time,Moment_AnklePlantarFlexion,Moment_HipAbduction,Moment_HipExternalRotation,Moment_HipFlexion,Moment_KneeFlexion,Force_Ankle_AnteroPosteriorForce,Force_Ankle_AxialMoment,Force_Ankle_MedioLateralForce,Force_Ankle_ProximoDistalForce,Force_Hip_AnteroPosteriorForce,Force_Hip_MediolateralForce,Force_Hip_ProximoDistalForce,Force_Knee_AnteroPosteriorForce,Force_Knee_AxialMoment,Force_Knee_LateralMoment,Force_Knee_MedioLateralForce,Force_Knee_ProximoDistalForce
1.07,8.819458987,-10.56209483,2.058032019,1.121258656,1.448907479,62.94730152,-0.604037868,-270.9162908,-34.34278264,53.74561269,-50.74724664,237.5639688,-16.10629394,0.169655918,-10.53946153,-20.76163181,-171.2546648
1.08,8.830048596,-10.40945548,2.026585407,1.161893278,1.445879724,63.26597796,-0.587144275,-272.1051977,-34.17621373,53.74772689,-49.99167807,235.9556442,-16.1734408,0.170304809,-10.47094966,-20.61476879,-171.2782531
1.09,8.833849215,-10.2747131,1.99936439,1.089269152,1.486333555,63.39656383,-0.562487209,-273.0711577,-33.99041081,53.29348318,-49.00595128,234.9715758,-16.08087233,0.179356852,-10.40283128,-20.55114379,-171.8583587
1.1,8.84361534,-10.18999092,1.98568989,1.010501402,1.521166835,63.48367408,-0.537487474,-273.9940953,-33.97761163,52.94186122,-48.41621306,234.7390188,-16.02760637,0.187164122,-10.40417118,-20.44892836,-173.0087627
1.11,8.891027924,-10.20805424,1.997584426,0.964921391,1.539223229,63.5409824,-0.516736249,-275.1067115,-34.61577147,52.87343783,-48.52558405,235.5532324,-16.12257711,0.195679488,-10.45516963,-20.51492728,-174.1948082
1.12,8.926929605,-10.23593517,2.009946999,0.912613483,1.552021247,63.5903922,-0.497568837,-276.0889024,-35.13030394,52.77410801,-48.64905535,236.466428,-16.25654099,0.203681027,-10.50532603,-20.59912552,-175.4230792
1.13,8.951955496,-10.27318875,2.022839533,0.85294109,1.561399485,63.63606178,-0.479624613,-276.9635512,-35.51534609,52.65418035,-48.78756751,237.522004,-16.41323297,0.211153903,-10.55516218,-20.691113,-176.6921404
1.14,8.966211392,-10.32080148,2.03673167,0.785405904,1.568784767,63.67884214,-0.46269751,-277.7400758,-35.76502559,52.52432992,-48.94871244,238.7728932,-16.5810863,0.217996446,-10.6061011,-20.78782928,-178.0222205
1.15,8.967071272,-10.37549433,2.051215901,0.697568313,1.580352205,63.70487073,-0.445558203,-278.397493,-35.83172996,52.34966499,-49.08956588,240.2937637,-16.72457856,0.224518833,-10.66147497,-20.87463119,-179.5375096
1.16,8.949699331,-10.42961478,2.06445941,0.59770651,1.593398146,63.73704467,-0.428773737,-278.9343397,-35.62780368,52.15372065,-49.18638494,241.9673944,-16.8385651,0.229809629,-10.7125159,-20.93162088,-181.1011675
1.17,8.917919078,-10.49628241,2.0799832,0.493194168,1.603345778,63.77889585,-0.41335264,-279.3728339,-35.21026443,51.96910811,-49.3276593,243.841665,-16.94995619,0.233767021,-10.7634257,-20.99044616,-182.6711019
1.18,8.897023809,-10.54590098,2.091548657,0.376515033,1.628772353,64.01675154,-0.393217234,-280.5455428,-34.59974433,51.72444229,-49.41634485,245.8907026,-17.00413383,0.24050268,-10.82951028,-21.01797411,-184.6613292
